Salona 40,11.99,AD BOATS
Salona 45,13.55,AD BOATS
Event 34,10.35,ADRIA EVENT
Brenta 38,11.66,ADRIA SAIL
FY 49 fast eruiser,14.80,ADRIA SAIL
Promenade 7.60,7.70,ALB-SAIL
BA30i,9.20,ALB-SAIL
BA4Oì,12.00,ALB-SAIL
BA411,12.60,ALB-SAIL
BA 50i Koala,15.00,ALB-SAIL
ALDEN 38,11.7,Alden
ALDEN 40,12.0,Alden
ALDEN 43-45,13.1,Alden
ALDEN 44,13.4,Alden
ALDEN 45,13.4,Alden
ALDEN 46/50 MK II,14.5,Alden
ALDEN 48,14.8,Alden
ALDEN 50,15.2,Alden
ALDEN 50 MK II,15.2,Alden
ALDEN 52,16.1,Alden
ALDEN 54,16.4,Alden
Ovni 345,11.40,ALUBAT
Ovni 36,11.95,ALUBAT
Ovni 395,12.68,ALUBAT
Ovni 435,13.29,ALUBAT
Cigale e Levder 14,14.00,ALUBAT
Ovni 455,14.46,ALUBAT
Ovni 455 CC,15.00,ALUBAT
Cigale e Levrier 16,16.00,ALUBAT
Cigale e LevriN 18,18.28,ALUBAT
Super Maramu 2000,16.00,AMEL ITALIA
A40,11.99,ARCHAMBAULT
AM 39i Sloop,11.65,ARREDOMAR
AM 72; 5100p,21.85,ARREDOMAR
Luna 64,19.40,AZZURRA YACHTING ITALIA
Luna 66 PH,20.15,AZZURRA YACHTING ITALIA
Ba!tic 50i,15.24,Baltic Yachts
Baltic 56,17.10,Baltic Yachts
Baltic 66,20.10,Baltic Yachts
BALTIC 35,10.4,Baltic Yachts
BALTIC 38,11.6,Baltic Yachts
BALTIC 40,11.9,Baltic Yachts
BALTIC 43,13.2,Baltic Yachts
BALTIC 47,14.5,Baltic Yachts
BALTIC 50,15.2,Baltic Yachts
Baltic 51,15.5,Baltic Yachts
BALTIC 52,16.0,Baltic Yachts
BALTIC 58,17.8,Baltic Yachts
BALTIC 64,19.5,Baltic Yachts
BALTIC 67,20.3,Baltic Yachts
BALTIC 87,26.4,Baltic Yachts
Baltic Breeze,15.0,Baltic Yachts
EC 17' Mosqulto,5.05,BARUFFALDI
P/38 Magnum,8.40,BARUFFALDI
JNP 999,10.45,BARUFFALDI
JNP 999 Kit,10.45,BARUFFALDI
BAVARIA 31,9.5,Bavaria Yachtbau
BAVARIA 32,10.2,Bavaria Yachtbau
BAVARIA 36,11.5,Bavaria Yachtbau
BAVARIA 38 OCEAN,11.7,Bavaria Yachtbau
Bavaria 32 Cruiser,10.30,Bavaria Yachtbau
Bavaria 35 Mateh,10.50,Bavaria Yachtbau
Bavaria 38 Match,11.39,Bavaria Yachtbau
"Bavaria 36 Crui,er",11.40,Bavaria Yachtbau
Bavaria 38 Cruiser,12.13,Bavaria Yachtbau
Bavaria 42 Malch,12.55,Bavaria Yachtbau
Bavaria 42 Cruiser,12.99,Bavaria Yachtbau
Bavaria 46 Cruiser,14.20,Bavaria Yachtbau
Bavaria 49 Cruiser,15.40,Bavaria Yachtbau
OCEANIS 281,8.7,Bénéteau
OCEANIS 311,9.8,Bénéteau
OCEANIS 321,9.9,Bénéteau
OCEANIS 352,10.6,Bénéteau
OCEANIS 36 CC,11.1,Bénéteau
OCEANIS 400,12.1,Bénéteau
OCEANIS 44 CC,13.6,Bénéteau
First21.7,6.40,Bénéteau
First211,6.40,Bénéteau
First 260 Spirlt,7.70,Bénéteau
First25.7,7.70,Bénéteau
First 27.7,8.85,Bénéteau
First 31.7,9.85,Bénéteau
Oeeanis 323,10.01,Bénéteau
Oeeanis 331,10.35,Bénéteau
Oeeanis 343,10.66,Bénéteau
First 36.7,11.00,Bénéteau
Oeeanis 373,11.25,Bénéteau
"Oceani,393",11.98,Bénéteau
First 40.7,11.99,Bénéteau
Oceanis 423,12.64,Bénéteau
Cyclades 43,12.94,Bénéteau
Oceanis 42 Cc,13.25,Bénéteau
First44.7,13.65,Bénéteau
Oceanis 473,14.30,Bénéteau
"First47,7",14.50,Bénéteau
Beneteau 50,15.48,Bénéteau
Oceanis 523,16.20,Bénéteau
Beneteau 57,17.20,Bénéteau
BENETEAU 25,7.4,Bénéteau
BENETEAU 311,9.8,Bénéteau
BENETEAU 361,11.1,Bénéteau
BENETEAU 36CC,10.8,Bénéteau
BENETEAU 36S7,10.9,Bénéteau
BENETEAU 411,12.7,Bénéteau
BENETEAU 50,15.4,Bénéteau
BENETEAU 53F5,16.1,Bénéteau
BENETEAU 64,18.9,Bénéteau
BENETEAU FIRST 310,9.4,Bénéteau
BENETEAU FIRST 345,10.5,Bénéteau
BENETEAU FIRST 36.7,10.9,Bénéteau
BENETEAU FIRST 38,12.2,Bénéteau
BENETEAU FIRST 38s5,11.4,Bénéteau
BENETEAU FIRST 40.7,11.9,Bénéteau
BENETEAU FIRST 42S7,12.9,Bénéteau
BENETEAU FIRST 45F5,14.1,Bénéteau
BENETEAU FIRST 47.7,14.5,Bénéteau
BENETEAU IDDYLLE 15.5,15.4,Bénéteau
BENETEAU OCEANIS 321,9.9,Bénéteau
BENETEAU OCEANIS 351,10.6,Bénéteau
BENETEAU OCEANIS 352,10.6,Bénéteau
BENETEAU OCEANIS 36CC,10.8,Bénéteau
BENETEAU OCEANIS 37,10.9,Bénéteau
BENETEAU OCEANIS 381,11.7,Bénéteau
BENETEAU OCEANIS 390,11.6,Bénéteau
BENETEAU OCEANIS 40,12.5,Bénéteau
BENETEAU OCEANIS 400,12.1,Bénéteau
BENETEAU OCEANIS 44 CC,13.6,Bénéteau
BENETEAU OCEANIS 461,14.0,Bénéteau
FIRST 21,6.4,Bénéteau
FIRST 265,8.1,Bénéteau
FIRST 36S7,10.9,Bénéteau
FIRST 45F5,14.1,Bénéteau
FIRST 53F5,16.2,Bénéteau
Hurricane 315 I.M.5.,9.60,BLU PHOENIX YACHT
Hurricane 375 IMS,11.60,BLU PHOENIX YACHT
Hurricane 425 IMS,13.05,BLU PHOENIX YACHT
Hurricane 625,18.05,BLU PHOENIX YACHT
BuenaOnda 36 Corsa,10.60,BUENAONDA YACHTS
BuenaOnda 36 Elite,10.60,BUENAONDA YACHTS
BuenaOnda 60,18.50,BUENAONDA YACHTS
Farr 31 IMS,9.58,C.B.I.
C&C 110 EXPRESS,11.1,C&C Yachts
C&C 121,12.2,C&C Yachts
C&C 29,8.7,C&C Yachts
C&C 30,9.1,C&C Yachts
C&C 37/40,12.0,C&C Yachts
C&C 40,12.1,C&C Yachts
C&C 51,15.7,C&C Yachts
C&C 52,15.7,C&C Yachts
C&C 99,9.9,C&C Yachts
C&C 99,10.2,C&C Yachts
C&C LANDFALL 38,11.4,C&C Yachts
LimltTCI,5.00,CADEI ROSA
Illimit,5.98,CADEI ROSA
Cam 26i,5.99,CADEI ROSA
Grand Soleil37B&C,11.02,Cantieri Del Pardo
Grand Soleil 40,12.29,Cantieri Del Pardo
Grand 50leU 43,13.39,Cantieri Del Pardo
Grand Soleil45,13.90,Cantieri Del Pardo
Grand 50[eiI46.3,14.30,Cantieri Del Pardo
Grand SoleU 50,14.90,Cantieri Del Pardo
Grand Soleil 56,16.90,Cantieri Del Pardo
GRAND SOLEIL 37,11.6,Cantieri Del Pardo
GRAND SOLEIL 50,15.2,Cantieri Del Pardo
Difference,7.15,CARDANI
CATALINA 22,6.5,Catalina Yachts
CATALINA 22 MK II,6.5,Catalina Yachts
CATALINA 25,7.6,Catalina Yachts
CATALINA 250,7.6,Catalina Yachts
"CATALINA 250, H2O",7.6,Catalina Yachts
"CATALINA 250, KEEL",7.6,Catalina Yachts
"CATALINA 250, WING",7.6,Catalina Yachts
CATALINA 27,8.2,Catalina Yachts
CATALINA 270,8.2,Catalina Yachts
CATALINA 28 MK II,8.6,Catalina Yachts
CATALINA 30 MKIII,9.1,Catalina Yachts
CATALINA 310,9.4,Catalina Yachts
CATALINA 320,9.9,Catalina Yachts
CATALINA 34,10.5,Catalina Yachts
CATALINA 36,11.0,Catalina Yachts
CATALINA 36 MKII,11.0,Catalina Yachts
CATALINA 38,11.6,Catalina Yachts
CATALINA 380,11.7,Catalina Yachts
CATALINA 400,12.3,Catalina Yachts
CATALINA 42,12.7,Catalina Yachts
CATALINA 470,14.1,Catalina Yachts
CATALINA 50,15.3,Catalina Yachts
Catalina 22 mkll,6.55,CATALINA YACHTS/MORGAN
Catailna 250,7.62,CATALINA YACHTS/MORGAN
Ca'ailna 270,8.23,CATALINA YACHTS/MORGAN
Catalina 28 mkll,8.70,CATALINA YACHTS/MORGAN
Catalina 30mklll,9.12,CATALINA YACHTS/MORGAN
Catalina 310,9.45,CATALINA YACHTS/MORGAN
Catalina 320,10.00,CATALINA YACHTS/MORGAN
Catalina 34 mkll,10.51,CATALINA YACHTS/MORGAN
Catailna 36 mkll,11.07,CATALINA YACHTS/MORGAN
CataUna 400,12.34,CATALINA YACHTS/MORGAN
CataUna 42mkll,12.75,CATALINA YACHTS/MORGAN
CataUna 470,14.53,CATALINA YACHTS/MORGAN
CataUna 50,15.37,CATALINA YACHTS/MORGAN
Class 33 5,9.86,CLASS YACHT
Class 33 Charter,9.86,CLASS YACHT
Class 33 Outlaw,9.86,CLASS YACHT
Class 47 Charter,14.50,CLASS YACHT
Class 47 Outlaw,14.50,CLASS YACHT
Class 47 S,14.50,CLASS YACHT
Class 53 5,15.70,CLASS YACHT
Class 53 Charter,15.70,CLASS YACHT
Class 53 Outlaw,15.70,CLASS YACHT
42i fast eruiser,12.81,CN YACHT 2OOO
Starkel 79 C,24.50,CN YACHT 2OOO
Brezza 22,6.50,CNA
Princetime 37.8,11.50,COLANGELO
"Calboat 6,20",6.20,COLOMBO LEOPOLDO & C
Ditterenee,7.15,COLOMBO LEOPOLDO & C
Comet 33 Cruise,10.20,COMAR
Comet 33 Perf.,10.20,COMAR
Comet 36,10.90,COMAR
Comet 45 Sport,13.80,COMAR
Comet 50 CI,15.20,COMAR
Comet 51 Cc,15.40,COMAR
Comet 51 Dh,15.40,COMAR
Comet 51 Sport,15.40,COMAR
Comet 511 Sport,15.40,COMAR
Comet 54 Dh,16.20,COMAR
Comet 65 Sport,19.90,COMAR
Comlortina 35,10.70,COMFORT YACHTS
Comfortina 42,12.86,COMFORT YACHTS
Contest 44 Cs,13.30,CONYPLEX- Contest Yachts
Contest 48 Cs,14.75,CONYPLEX- Contest Yachts
Contest 50 Cs,14.99,CONYPLEX- Contest Yachts
Contest 5S Cs,16.75,CONYPLEX- Contest Yachts
Contest 60,18.30,CONYPLEX- Contest Yachts
Contest 60 Cs,18.30,CONYPLEX- Contest Yachts
Explorer 20,6.20,COOPERATIVA NAUTICA
Explerer 32,9.60,COOPERATIVA NAUTICA
Explorer 43,13.10,COOPERATIVA NAUTICA
Fortuna 60,18.30,CRUZ DEL SUR YACHTS
Custom 50,15.50,CUSTOM
Este 31,9.53,D'ESTE
"E,te 39",11.95,D'ESTE
Este 72,22.30,D'ESTE
Daka 45,13.60,DAKA BOATS
Dehler 25,7.50,DEHLER INTERNATIONAL B.V.
Dehler 29,8.75,DEHLER INTERNATIONAL B.V.
Dehler 34,10.21,DEHLER INTERNATIONAL B.V.
Dehler 36,10.95,DEHLER INTERNATIONAL B.V.
Dehler 39 SQ,11.99,DEHLER INTERNATIONAL B.V.
Dehler 47,14.30,DEHLER INTERNATIONAL B.V.
Dehier 41 Cr,12.45,DEHLER INTERNATIONAL BV
Dehler41 Ds,12.45,DEHLER INTERNATIONAL BV
Delphia 24,7.60,DELPHIA YACHTS
Delphia 29,9.02,DELPHIA YACHTS
Delphia 37,10.74,DELPHIA YACHTS
Delphia 40,12.30,DELPHIA YACHTS
DUFOUR 32,9.9,Dufour Yachts
DUFOUR 32 CLASSIC,9.9,Dufour Yachts
DUFOUR 35,10.7,Dufour Yachts
DUFOUR 36 CLASSIC,11.0,Dufour Yachts
DUFOUR 38,11.6,Dufour Yachts
DUFOUR 38,11.6,Dufour Yachts
DUFOUR 41,12.3,Dufour Yachts
DUFOUR 43 CC,13.0,Dufour Yachts
DUFOUR 45,14.0,Dufour Yachts
Dufour 34,10.60,Dufour Yachts
Dulour 365 GL,10.81,Dufour Yachts
Dufour 40,12.32,Dufour Yachts
Dufour 44,13.67,Dufour Yachts
"Dufo""r 455 GL",13.76,Dufour Yachts
Elan 31,9.40,Elan Marine
Impression 344,9.99,Elan Marine
Elan 333,10.45,Elan Marine
Impression 434,11.25,Elan Marine
Elan 37,11.33,Elan Marine
Elan 40,12.20,Elan Marine
Etap 26 i,8.00,ETAP YACHTING
Etap 30 i,9.35,ETAP YACHTING
Etap 345,10.63,ETAP YACHTING
Etap 37 5,11.26,ETAP YACHTING
"Etap 46 d,",14.00,ETAP YACHTING
Alfa 51,15.41,EURO ALFA SAILING YACHIS
Finngulf 28,8.60,FINNGULF Yachts OY
ulf33,10.13,FINNGULF Yachts OY
Finngul136,10.94,FINNGULF Yachts OY
finngull 37,11.30,FINNGULF Yachts OY
Finngulf 391,11.97,FINNGULF Yachts OY
Finngulf391 DH,11.97,FINNGULF Yachts OY
Finnulf 41,12.50,FINNGULF Yachts OY
Finngulf 44,14.00,FINNGULF Yachts OY
43 L,13.20,FRANCHINI YACHTS
43 S,13.20,FRANCHINI YACHTS
471,14.42,FRANCHINI YACHTS
47 S,14.42,FRANCHINI YACHTS
53i 5 Cutter,16.60,FRANCHINI YACHTS
53i L Culter,16.60,FRANCHINI YACHTS
63 L,19.20,FRANCHINI YACHTS
755,23.15,FRANCHINI YACHTS
75 L,23.19,FRANCHINI YACHTS
76 L,23.26,FRANCHINI YACHTS
Passoa 43,13.35,GARCIA ALUMINIUM
Passoa 46,14.60,GARCIA ALUMINIUM
Gareia 48 Cc,15.45,GARCIA ALUMINIUM
Passoa 50,15.70,GARCIA ALUMINIUM
Passoa 54,16.80,GARCIA ALUMINIUM
Passoa 55 Cc,16.90,GARCIA ALUMINIUM
Garcia 60 Cc,18.50,GARCIA ALUMINIUM
Garcia 70,22.25,GARCIA ALUMINIUM
Garcia 75,23.69,GARCIA ALUMINIUM
Garcia 86,26.29,GARCIA ALUMINIUM
Gemini 52 Med,15.98,GEMINI YACHTS
Gemini 52 Md,16.34,GEMINI YACHTS
GIBSEA 362,10.9,GibSea
GIBSEA 392,11.9,GibSea
GIBSEA 472,14.2,GibSea
Gielle 45,13.70,GIEFFE SAILING YACHTS
Gieffe 51,15.85,GIEFFE SAILING YACHTS
Gieffe 55,16.60,GIEFFE SAILING YACHTS
HR31,9.62,Hallberg Rassy
HR34,10.28,Hallberg Rassy
HR 37,11.32,Hallberg Rassy
HR 40,12.40,Hallberg Rassy
HR 43,13.57,Hallberg Rassy
HR 48,14.99,Hallberg Rassy
HR 53,16.44,Hallberg Rassy
HR 62,18.88,Hallberg Rassy
HALLBERG-RASSY 31,9.5,Hallberg Rassy
HALLBERG-RASSY 34,10.3,Hallberg Rassy
HALLBERG-RASSY 352,10.5,Hallberg Rassy
HALLBERG-RASSY 36,10.9,Hallberg Rassy
HALLBERG-RASSY 39,11.8,Hallberg Rassy
HALLBERG-RASSY 42,13.2,Hallberg Rassy
HALLBERG-RASSY 46,14.7,Hallberg Rassy
HALLBERG-RASSY 49,14.9,Hallberg Rassy
HALLBERG-RASSY 53,16.4,Hallberg Rassy
HALLBERG-RASSY 62,18.8,Hallberg Rassy
41 Tradibonal,12.47,HANS CHRISTIAN
43 Traditional,12.99,HANS CHRISTIAN
43 Christina,13.10,HANS CHRISTIAN
48 Traditional,14.60,HANS CHRISTIAN
Christina Cutter,15.80,HANS CHRISTIAN
Etap 21 i,6.56,HAP YACHTING
Etap 24 i,8.02,HAP YACHTING
Etap 32 5,9.84,HAP YACHTING
Hun'er 27 Base,8.33,HUNTER MARINE
Hunter 27 Crociera,8.33,HUNTER MARINE
Hunter 306,9.12,HUNTER MARINE
Hunter 33,10.21,HUNTER MARINE
Hunter 36,10.82,HUNTER MARINE
Hunter 38,11.64,HUNTER MARINE
Hunter 41,12.29,HUNTER MARINE
Hunter 41 DS,12.29,HUNTER MARINE
Hunter 44,13.17,HUNTER MARINE
Hunter 44 Ds,13.17,HUNTER MARINE
Passae 420,13.23,HUNTER MARINE
Hunter 46,14.05,HUNTER MARINE
passage 456,14.05,HUNTER MARINE
Hunter HC 50,15.24,HUNTER MARINE
HUNTER  19,5.8,HUNTER MARINE
HUNTER (UK) CHANNEL 323,9.8,HUNTER MARINE
